age,activity_level,breed,color,hair_length,sex,size
Kit,High,Chinchilla,Albino or Red-Eyed White,Short,Male,
Adolescent,Medium,Degu,Beige or Tan ,Medium,Female,
Adult,Low,Ferret,Black,Long,,
Senior,,Gerbil,Blonde,,,
,,Guinea Pig,Brown or Chocolate,,,
,,Hamster,Buff,,,
,,Hedgehog,Calico,,,
,,Mouse,Cream,,,
,,Other/Unknown,Golden,,,
,,Prairie Dog,Gray or Silver,,,
,,Rat,Lilac,,,
,,Skunk,Multi,,,
,,Sugar Glider,Orange,,,
,,,Red,,,
,,,Sable,,,
,,,Tortoiseshell,,,
,,,White,,,
,,,Yellow,,,
