age,activity_level,breed,color,hair_length,sex,size
,,Petit Basset Griffon Vendeen,,,,
,,Pharaoh Hound,,,,
,,Pit Bull Terrier,,,,
,,Plott Hound,,,,
,,Podengo Portugueso,,,,
,,Pointer,,,,
,,Polish Lowland Sheepdog,,,,
,,Pomeranian,,,,
,,Poodle (Miniature),,,,
,,Poodle (Standard),,,,
,,Poodle (Toy or Tea Cup),,,,
,,Portuguese Water Dog,,,,
,,Pug,,,,
,,Puli,,,,
,,Pumi,,,,
,,Presa Canario,,,,
,,Rat Terrier,,,,
,,Redbone Coonhound,,,,
,,Redtick Coonhound,,,,
,,Retriever (Unknown Type),,,,
,,Rhodesian Ridgeback,,,,
,,Rottweiler,,,,
,,Russian Wolfhound,,,,
,,Saluki,,,,
,,Samoyed,,,,
,,Schiller Hound,,,,
,,Schipperke,,,,
,,Schnauzer (Giant),,,,
,,Schnauzer (Miniature),,,,
,,Schnauzer (Standard),,,,
,,"Scottie, Scottish Terrier",,,,
,,Scottish Deerhound,,,,
,,Sealyham Terrier,,,,
,,Setter (Unknown Type),,,,
,,Shar Pei,,,,
,,"Sheltie, Shetland Sheepdog",,,,
,,Shepherd (Unknown Type),,,,
,,Shiba Inu,,,,
,,Shih Tzu,,,,
,,Siberian Husky,,,,
,,Silky Terrier,,,,
,,Skye Terrier,,,,
,,Sloughi,,,,
,,Smooth Fox Terrier,,,,
,,Spaniel (Unknown Type),,,,
,,"Spitz (Unknown Type, Large)",,,,
,,"Spitz (Unknown Type, Medium)",,,,
,,"Spitz (Unknown Type, Small)",,,,
,,Springer Spaniel,,,,
,,St. Bernard,,,,
,,Staffordshire Bull Terrier,,,,
,,Standard Poodle,,,,
,,Standard Schnauzer,,,,
,,Sussex Spaniel,,,,
,,Swedish Vallhund,,,,
,,Tea Cup Poodle,,,,
,,"Terrier (Unknown Type, Medium)",,,,
,,"Terrier (Unknown Type, Small)",,,,
,,Thai Ridgeback,,,,
,,Tibetan Mastiff,,,,
,,Tibetan Spaniel,,,,
,,Tibetan Terrier,,,,
,,Tosa Inu,,,,
,,Toy Fox Terrier,,,,
,,Toy Poodle,,,,
,,Treeing Walker Coonhound,,,,
,,Vizsla,,,,
,,Weimaraner,,,,
,,Welsh Corgi,,,,
,,Welsh Springer Spaniel,,,,
,,Welsh Terrier,,,,
,,"Westie, West Highland White Terrier",,,,
,,Wheaten Terrier,,,,
,,Whippet,,,,
,,Wirehaired Fox Terrier,,,,
,,Wirehaired Pointing Griffon,,,,
,,Wolf Hybrid,,,,
,,Xoloitzcuintle/Mexican Hairless,,,,
,,"Yorkie, Yorkshire Terrier",,,,
